Actual,Predicted
141585.52,129572.25330672642
166187.94,174571.4529200244
89949.14,94332.35583240096
152211.77,151239.27917502902
182901.99,173801.67493358377
156122.51,151762.52813692263
77798.83,75844.41929408054
49490.75,52090.797549058836
42559.73,42241.75083583717
129917.04,146065.83837482784
149759.96,155693.45202455478
126992.93,117910.96439027374
108552.04,110523.14886305852
96712.8,88649.87926791723
97483.56,96766.42645463574
192261.83,189001.72768310993
65200.33,63133.60235514691
105008.31,113387.01451720773
96778.92,99285.39484472721
156991.12,165787.66350273017
101004.64,101261.34122170243
144259.4,136793.92609236535
90708.19,74894.92688125808
191792.06,185106.97438150307
111313.02,116209.92982769395
191050.39,183656.15812481538
69758.98,56497.582977593425
96479.51,92818.64910715925
108733.99,112177.50800863482
78239.91,74661.11201441102
146121.95,135272.08658962641
110352.25,115424.05465510415
124266.9,130535.06337164645
14681.4,44502.00918685223
118474.03,118198.19842164096
155752.6,159279.51074580656
71498.49,70571.00708236995
132602.65,149294.5554809798
103282.38,104176.61532248551
81229.06,73075.98624449797
